ts,data_qubit_transmitted,x-hop,y-hop
1,fail,1,1
2,success,1,0
3,fail,2,2
4,fail,0,3
5,fail,1,3
6,success,1,0
7,fail,2,0
8,fail,3,1
9,fail,2,3
10,fail,2,2
