ts,data_qubit_transmitted,x-hop,y-hop
1,success,0,1
2,fail,2,0
3,success,1,0
4,success,1,0
5,fail,2,3
6,fail,2,0
7,fail,2,2
8,fail,0,2
9,fail,1,1
10,fail,3,3
