ts,data_qubit_transmitted,x-hop,y-hop
1,success,1,0
2,fail,2,1
3,success,1,0
4,fail,1,1
5,fail,0,2
6,fail,3,1
7,fail,2,1
8,fail,3,2
9,fail,2,1
10,fail,2,0
