ts,data_qubit_transmitted,x-hop,y-hop
1,fail,2,1
2,fail,3,0
3,fail,2,0
4,fail,0,2
5,fail,3,0
6,fail,3,2
7,fail,0,2
8,success,1,0
9,fail,2,0
10,fail,2,1
