ts,data_qubit_transmitted,x-hop,y-hop
1,success,1,0
2,fail,3,1
3,fail,2,1
4,fail,2,0
5,fail,3,1
6,success,0,1
7,success,1,0
8,fail,1,1
9,fail,0,2
10,success,0,1
