ts,src,dst,path_used,qubit_teleported,x-hop,y-hop
1.0,n13,n14,['n13', 'n14'],1,1,0
1.1,n13,n14,['n13', 'n9', 'n10', 'n14'],1,1,0
2.0,n2,n9,None,0,1,2
2.1,n2,n9,['n2', 'n1', 'n5', 'n9'],1,1,2
2.2,n2,n9,['n2', 'n6', 'n10', 'n9'],1,1,2
2.3,n2,n9,['n2', 'n3', 'n7', 'n11', 'n10', 'n14', 'n13', 'n9'],1,1,2
3.0,n16,n13,None,0,3,0
3.1,n16,n13,['n16', 'n15', 'n14', 'n13'],1,3,0
3.2,n16,n13,['n16', 'n12', 'n11', 'n10', 'n9', 'n13'],1,3,0
4.0,n10,n16,None,0,2,1
4.1,n10,n16,['n10', 'n11', 'n12', 'n16'],1,2,1
4.2,n10,n16,['n10', 'n14', 'n15', 'n16'],1,2,1
5.0,n12,n7,None,0,1,1
