ts,data_qubit_transmitted,x-hop,y-hop
1,fail,2,1
2,fail,0,3
3,fail,3,0
4,fail,0,3
5,success,1,0
6,fail,2,3
7,success,0,1
8,success,0,3
9,fail,1,2
10,fail,3,1
